nohup: ignoring input
Detected GPUs: 1 GPU(s)
 - NVIDIA GeForce RTX 4090
[Info] No previous replay or train_state found, start from scratch.
[EP 60] Buffer=34958, T=0.95, Loss=4.7024, Policy Loss=3.1680, Value Loss=0.8251
[EP 61] Buffer=35443, T=0.95, Loss=4.6501, Policy Loss=3.1692, Value Loss=0.7743
[EP 62] Buffer=35791, T=0.95, Loss=4.6353, Policy Loss=3.1650, Value Loss=0.7665
[EP 63] Buffer=36234, T=0.95, Loss=4.6124, Policy Loss=3.1668, Value Loss=0.7444
[EP 64] Buffer=36659, T=0.95, Loss=4.6501, Policy Loss=3.1621, Value Loss=0.7895
[EP 65] Buffer=37178, T=0.95, Loss=4.6358, Policy Loss=3.1525, Value Loss=0.7874
[EP 66] Buffer=37498, T=0.95, Loss=4.6239, Policy Loss=3.1527, Value Loss=0.7780
[EP 67] Buffer=37916, T=0.95, Loss=4.5997, Policy Loss=3.1524, Value Loss=0.7566
[EP 68] Buffer=38312, T=0.94, Loss=4.6044, Policy Loss=3.1511, Value Loss=0.7652
[EP 69] Buffer=38816, T=0.94, Loss=4.5945, Policy Loss=3.1488, Value Loss=0.7602
[EP 70] Buffer=39286, T=0.94, Loss=4.6153, Policy Loss=3.1488, Value Loss=0.7835
[EP 71] Buffer=39864, T=0.94, Loss=4.5556, Policy Loss=3.1364, Value Loss=0.7387
[EP 72] Buffer=40209, T=0.94, Loss=4.5508, Policy Loss=3.1352, Value Loss=0.7376
[EP 73] Buffer=40673, T=0.94, Loss=4.5627, Policy Loss=3.1417, Value Loss=0.7455
[EP 74] Buffer=41054, T=0.94, Loss=4.5482, Policy Loss=3.1320, Value Loss=0.7431
[EP 75] Buffer=41418, T=0.94, Loss=4.5406, Policy Loss=3.1326, Value Loss=0.7373
[EP 76] Buffer=41850, T=0.94, Loss=4.5308, Policy Loss=3.1240, Value Loss=0.7386
[EP 77] Buffer=42194, T=0.94, Loss=4.5138, Policy Loss=3.1191, Value Loss=0.7288
[EP 78] Buffer=42613, T=0.94, Loss=4.5221, Policy Loss=3.1205, Value Loss=0.7382
[EP 79] Buffer=42951, T=0.94, Loss=4.5153, Policy Loss=3.1124, Value Loss=0.7418
[EP 80] Buffer=43377, T=0.93, Loss=4.5188, Policy Loss=3.1153, Value Loss=0.7448
[EP 81] Buffer=43725, T=0.93, Loss=4.4812, Policy Loss=3.1118, Value Loss=0.7130
[EP 82] Buffer=44145, T=0.93, Loss=4.4817, Policy Loss=3.1064, Value Loss=0.7212
[EP 83] Buffer=44498, T=0.93, Loss=4.4790, Policy Loss=3.1083, Value Loss=0.7189
[EP 84] Buffer=44964, T=0.93, Loss=4.4893, Policy Loss=3.0919, Value Loss=0.7478
[EP 85] Buffer=45476, T=0.93, Loss=4.4592, Policy Loss=3.1007, Value Loss=0.7111
[EP 86] Buffer=45812, T=0.93, Loss=4.4441, Policy Loss=3.1015, Value Loss=0.6976
[EP 87] Buffer=46339, T=0.93, Loss=4.4482, Policy Loss=3.0935, Value Loss=0.7118
[EP 88] Buffer=46645, T=0.93, Loss=4.4349, Policy Loss=3.0882, Value Loss=0.7060
